n_queries,found_rate,fallback_rate,median_latency_ns,mean_latency_ns,p95_latency_ns,throughput_qps,mean_pred_error,p95_pred_error,max_pred_error,mean_window_size,max_window_size,mean_steps,p95_steps,phase,phase_name,index,retrain_count,retrain_time_ns
4000,0.95,0.0,900.0,868.9,900.0,1150880.4235239958,0.0,0.0,0.0,30000.0,30000.0,15.0,15.0,0,linear,bisect,0,0
4000,0.95175,0.0,900.0,1135.125,2300.0,880960.246668869,0.0,0.0,0.0,30000.0,30000.0,15.0,15.0,1,lognormal,bisect,0,0
4000,0.9475,0.0,900.0,917.85,1400.0,1089502.642043907,0.0,0.0,0.0,30000.0,30000.0,15.0,15.0,2,piecewise,bisect,0,0
4000,0.954,0.0,800.0,903.425,1200.0,1106898.7464371696,0.0,0.0,0.0,30000.0,30000.0,15.0,15.0,3,uniform,bisect,0,0
4000,0.95,0.0,3000.0,3264.5,5004.999999999973,306325.62413845916,0.02675,0.0,1.0,3.0,3.0,2.0,2.0,0,linear,learned_only_linear,1,790500
4000,0.0,0.0,3000.0,3330.75,6600.0,300232.68032725365,23560.22575,79156.79999999996,128657.0,-16050.343,3.0,1.52325,2.0,1,lognormal,learned_only_linear,1,790500
4000,0.0,0.0,2800.0,3112.925,4600.0,321241.2762915907,71667.193,176759.89999999997,188968.0,-60504.066,3.0,1.2665,2.0,2,piecewise,learned_only_linear,1,790500
4000,0.0,0.0,2800.0,3132.5,6200.0,319233.8387869114,1415662.7,2680275.0999999996,2822527.0,-1400906.29825,3.0,1.0115,1.0,3,uniform,learned_only_linear,1,790500
4000,0.95,0.05,3500.0,3873.875,5900.0,258139.4598431803,0.02675,0.0,1.0,3.0,3.0,2.75,2.7499999999959073,0,linear,hybrid_linear,4,2264500
4000,0.95175,1.0,1000.0,1372.65,3154.9999999997,728517.8304739008,376.42675,4.099999999977626,14368.0,28500.122,30000.0,15.072,15.049999999999727,1,lognormal,hybrid_linear,4,2264500
4000,0.9475,0.99875,1000.0,1291.825,4109.999999999945,774098.6588740735,319.7485,12.79999999993015,10014.0,28585.66075,30000.0,15.5645,15.0,2,piecewise,hybrid_linear,4,2264500
4000,0.954,0.0915,3800.0,4097.275,5500.0,244064.65272650728,742.391,125.04999999999973,27863.0,297.65225,2049.0,10.46725,24.0,3,uniform,hybrid_linear,4,2264500
4000,0.95,0.05,10800.0,11372.325,14400.0,87932.76660665254,0.02675,0.0,1.0,3.0,3.0,2.75,2.7499999999959073,0,linear,hybrid_piecewise8,4,6080300
4000,0.95175,1.0,1100.0,1692.0,11704.999999999973,591016.548463357,376.42675,4.099999999977626,14368.0,28500.122,30000.0,15.072,15.049999999999727,1,lognormal,hybrid_piecewise8,4,6080300
4000,0.9475,0.99575,1100.0,1783.05,11209.999999999945,560836.7684585402,359.83525,0.2999999999983629,15261.0,28586.104,30000.0,15.52,15.0,2,piecewise,hybrid_piecewise8,4,6080300
4000,0.954,0.0915,11200.0,11884.375,14604.999999999973,84144.09676571128,714.4295,58.099999999999454,27695.0,173.422,2049.0,8.57525,22.0,3,uniform,hybrid_piecewise8,4,6080300
