n_queries,found_rate,fallback_rate,median_latency_ns,mean_latency_ns,p95_latency_ns,throughput_qps,mean_pred_error,p95_pred_error,max_pred_error,mean_window_size,max_window_size,mean_steps,p95_steps,dataset,index,n_keys,retrain_count,retrain_time_ns
5000,0.946,0.0,800.0,853.5,900.0,1171646.1628588166,0.0,0.0,0.0,20000.0,20000.0,15.0,15.0,uniform,bisect,20000,0,0
5000,0.946,0.0,3300.0,3335.86,3600.0,299772.7722386431,26.0936,64.0,88.0,180.672,181.0,7.9982,8.0,uniform,learned_only_linear,20000,1,462200
5000,0.946,0.0,10700.0,11257.74,14900.0,88827.77537942784,9.3124,23.0,37.0,76.974,77.0,6.9992,7.0,uniform,learned_only_piecewise8,20000,1,923100
5000,0.946,0.054,3700.0,4230.58,6900.0,236374.20873733624,26.093,64.0,88.0,180.6726,181.0,8.8082,23.0,uniform,hybrid_linear,20000,1,254100
5000,0.946,0.054,11300.0,11735.18,12905.000000000018,85213.8612275227,9.3124,23.0,37.0,76.974,77.0,7.8092,22.0,uniform,hybrid_piecewise8,20000,1,755800
5000,0.946,0.0,800.0,858.3,900.0,1165093.7900500991,0.0,0.0,0.0,20000.0,20000.0,15.0,15.0,linear,bisect,20000,0,0
5000,0.946,0.0,3000.0,3183.74,3300.0,314096.00030153216,0.0296,0.0,1.0,3.0,3.0,2.0,2.0,linear,learned_only_linear,20000,1,496300
5000,0.946,0.0,10600.0,10878.4,11600.0,91925.28312987204,0.0296,0.0,1.0,3.0,3.0,2.0,2.0,linear,learned_only_piecewise8,20000,1,1091600
5000,0.946,0.054,3500.0,3667.12,4400.0,272693.55788738845,0.0296,0.0,1.0,3.0,3.0,2.81,17.0,linear,hybrid_linear,20000,1,519600
5000,0.946,0.054,11100.0,11634.38,13605.000000000018,85952.15215593785,0.0296,0.0,1.0,3.0,3.0,2.81,17.0,linear,hybrid_piecewise8,20000,1,956900
5000,0.946,0.0,800.0,836.64,900.0,1195257.2193536048,0.0,0.0,0.0,20000.0,20000.0,15.0,15.0,lognormal,bisect,20000,0,0
5000,0.946,0.0,3500.0,3657.92,4000.0,273379.4068760388,2168.3134,4134.05,9256.0,15297.7974,18717.0,14.3288,15.0,lognormal,learned_only_linear,20000,1,267700
5000,0.946,0.0,11000.0,11488.74,12400.0,87041.74696267824,284.8734,1046.0,1471.0,2832.2082,2965.0,11.9258,12.0,lognormal,learned_only_piecewise8,20000,1,742200
5000,0.946,0.9894,1000.0,1226.1,1705.0000000000182,815594.160345812,75.1878,0.0,4174.0,19278.794,20000.0,15.3178,15.0,lognormal,hybrid_linear,20000,2,631100
5000,0.946,0.1062,11400.0,12037.96,13800.0,83070.55348248375,274.6324,1043.1500000000005,1471.0,1983.8504,2049.0,13.4902,27.0,lognormal,hybrid_piecewise8,20000,1,950100
5000,0.946,0.0,800.0,862.56,1000.0,1159339.6401409758,0.0,0.0,0.0,20000.0,20000.0,15.0,15.0,piecewise,bisect,20000,0,0
5000,0.946,0.0,3500.0,3628.72,4100.0,275579.26762053836,1194.1044,2351.0,2439.0,4541.1736,4881.0,12.8092,13.0,piecewise,learned_only_linear,20000,1,249900
5000,0.946,0.0,11000.0,11730.7,15900.0,85246.40473288039,670.643,5446.0,5615.0,9378.7076,11235.0,13.7314,14.0,piecewise,learned_only_piecewise8,20000,1,711900
5000,0.946,0.984,1000.0,1321.24,2400.0,756864.7634040749,46.858,0.0,2433.0,19278.5804,20000.0,15.236,15.0,piecewise,hybrid_linear,20000,2,839000
5000,0.946,0.6168,1100.0,6498.8,13900.0,153874.56145749983,309.926,1820.3500000000013,5615.0,11577.8552,20000.0,14.816,27.0,piecewise,hybrid_piecewise8,20000,2,1616200
