experiment,dataset,phase,index,threshold,n_queries,found_rate,fallback_rate,median_latency_ns,mean_latency_ns,p95_latency_ns,throughput_qps,mean_pred_error,p95_pred_error,max_pred_error,mean_window_size,max_window_size,mean_steps,p95_steps,retrain_count,retrain_time_ns
static,uniform,,bisect,,5000,0.946,0.0,800.0,853.5,900.0,1171646.1628588166,0.0,0.0,0.0,20000.0,20000.0,15.0,15.0,0,0.0
static,uniform,,learned_only_linear,,5000,0.946,0.0,3300.0,3335.86,3600.0,299772.7722386431,26.0936,64.0,88.0,180.672,181.0,7.9982,8.0,1,462200.0
static,uniform,,learned_only_piecewise8,,5000,0.946,0.0,10700.0,11257.74,14900.0,88827.77537942784,9.3124,23.0,37.0,76.974,77.0,6.9992,7.0,1,923100.0
static,uniform,,hybrid_linear,,5000,0.946,0.054,3700.0,4230.58,6900.0,236374.20873733624,26.093,64.0,88.0,180.6726,181.0,8.8082,23.0,1,254100.0
static,uniform,,hybrid_piecewise8,,5000,0.946,0.054,11300.0,11735.18,12905.000000000018,85213.8612275227,9.3124,23.0,37.0,76.974,77.0,7.8092,22.0,1,755800.0
static,linear,,bisect,,5000,0.946,0.0,800.0,858.3,900.0,1165093.7900500991,0.0,0.0,0.0,20000.0,20000.0,15.0,15.0,0,0.0
static,linear,,learned_only_linear,,5000,0.946,0.0,3000.0,3183.74,3300.0,314096.00030153216,0.0296,0.0,1.0,3.0,3.0,2.0,2.0,1,496300.0
static,linear,,learned_only_piecewise8,,5000,0.946,0.0,10600.0,10878.4,11600.0,91925.28312987204,0.0296,0.0,1.0,3.0,3.0,2.0,2.0,1,1091600.0
static,linear,,hybrid_linear,,5000,0.946,0.054,3500.0,3667.12,4400.0,272693.55788738845,0.0296,0.0,1.0,3.0,3.0,2.81,17.0,1,519600.0
static,linear,,hybrid_piecewise8,,5000,0.946,0.054,11100.0,11634.38,13605.000000000018,85952.15215593785,0.0296,0.0,1.0,3.0,3.0,2.81,17.0,1,956900.0
static,lognormal,,bisect,,5000,0.946,0.0,800.0,836.64,900.0,1195257.2193536048,0.0,0.0,0.0,20000.0,20000.0,15.0,15.0,0,0.0
static,lognormal,,learned_only_linear,,5000,0.946,0.0,3500.0,3657.92,4000.0,273379.4068760388,2168.3134,4134.05,9256.0,15297.7974,18717.0,14.3288,15.0,1,267700.0
static,lognormal,,learned_only_piecewise8,,5000,0.946,0.0,11000.0,11488.74,12400.0,87041.74696267824,284.8734,1046.0,1471.0,2832.2082,2965.0,11.9258,12.0,1,742200.0
static,lognormal,,hybrid_linear,,5000,0.946,0.9894,1000.0,1226.1,1705.0000000000182,815594.160345812,75.1878,0.0,4174.0,19278.794,20000.0,15.3178,15.0,2,631100.0
static,lognormal,,hybrid_piecewise8,,5000,0.946,0.1062,11400.0,12037.96,13800.0,83070.55348248375,274.6324,1043.1500000000003,1471.0,1983.8504,2049.0,13.4902,27.0,1,950100.0
static,piecewise,,bisect,,5000,0.946,0.0,800.0,862.56,1000.0,1159339.6401409758,0.0,0.0,0.0,20000.0,20000.0,15.0,15.0,0,0.0
static,piecewise,,learned_only_linear,,5000,0.946,0.0,3500.0,3628.72,4100.0,275579.2676205384,1194.1044,2351.0,2439.0,4541.1736,4881.0,12.8092,13.0,1,249900.0
static,piecewise,,learned_only_piecewise8,,5000,0.946,0.0,11000.0,11730.7,15900.0,85246.40473288039,670.643,5446.0,5615.0,9378.7076,11235.0,13.7314,14.0,1,711900.0
static,piecewise,,hybrid_linear,,5000,0.946,0.984,1000.0,1321.24,2400.0,756864.7634040749,46.858,0.0,2433.0,19278.5804,20000.0,15.236,15.0,2,839000.0
static,piecewise,,hybrid_piecewise8,,5000,0.946,0.6168,1100.0,6498.8,13900.0,153874.56145749983,309.926,1820.3500000000013,5615.0,11577.8552,20000.0,14.816,27.0,2,1616200.0
drift,linear,linear,bisect,,4000,0.95,0.0,900.0,868.9,900.0,1150880.4235239958,0.0,0.0,0.0,30000.0,30000.0,15.0,15.0,0,0.0
drift,lognormal,lognormal,bisect,,4000,0.95175,0.0,900.0,1135.125,2300.0,880960.246668869,0.0,0.0,0.0,30000.0,30000.0,15.0,15.0,0,0.0
drift,piecewise,piecewise,bisect,,4000,0.9475,0.0,900.0,917.85,1400.0,1089502.642043907,0.0,0.0,0.0,30000.0,30000.0,15.0,15.0,0,0.0
drift,uniform,uniform,bisect,,4000,0.954,0.0,800.0,903.425,1200.0,1106898.7464371696,0.0,0.0,0.0,30000.0,30000.0,15.0,15.0,0,0.0
drift,linear,linear,learned_only_linear,,4000,0.95,0.0,3000.0,3264.5,5004.999999999973,306325.6241384592,0.02675,0.0,1.0,3.0,3.0,2.0,2.0,1,790500.0
drift,lognormal,lognormal,learned_only_linear,,4000,0.0,0.0,3000.0,3330.75,6600.0,300232.68032725365,23560.22575,79156.79999999996,128657.0,-16050.343,3.0,1.52325,2.0,1,790500.0
drift,piecewise,piecewise,learned_only_linear,,4000,0.0,0.0,2800.0,3112.925,4600.0,321241.2762915907,71667.193,176759.89999999997,188968.0,-60504.066,3.0,1.2665,2.0,1,790500.0
drift,uniform,uniform,learned_only_linear,,4000,0.0,0.0,2800.0,3132.5,6200.0,319233.8387869114,1415662.7,2680275.1,2822527.0,-1400906.29825,3.0,1.0115,1.0,1,790500.0
drift,linear,linear,hybrid_linear,,4000,0.95,0.05,3500.0,3873.875,5900.0,258139.4598431803,0.02675,0.0,1.0,3.0,3.0,2.75,2.7499999999959077,4,2264500.0
drift,lognormal,lognormal,hybrid_linear,,4000,0.95175,1.0,1000.0,1372.65,3154.9999999997,728517.8304739008,376.42675,4.099999999977626,14368.0,28500.122,30000.0,15.072,15.049999999999727,4,2264500.0
drift,piecewise,piecewise,hybrid_linear,,4000,0.9475,0.99875,1000.0,1291.825,4109.999999999945,774098.6588740735,319.7485,12.79999999993015,10014.0,28585.66075,30000.0,15.5645,15.0,4,2264500.0
drift,uniform,uniform,hybrid_linear,,4000,0.954,0.0915,3800.0,4097.275,5500.0,244064.65272650728,742.391,125.04999999999971,27863.0,297.65225,2049.0,10.46725,24.0,4,2264500.0
drift,linear,linear,hybrid_piecewise8,,4000,0.95,0.05,10800.0,11372.325,14400.0,87932.76660665254,0.02675,0.0,1.0,3.0,3.0,2.75,2.7499999999959077,4,6080300.0
drift,lognormal,lognormal,hybrid_piecewise8,,4000,0.95175,1.0,1100.0,1692.0,11704.999999999973,591016.548463357,376.42675,4.099999999977626,14368.0,28500.122,30000.0,15.072,15.049999999999727,4,6080300.0
drift,piecewise,piecewise,hybrid_piecewise8,,4000,0.9475,0.99575,1100.0,1783.05,11209.999999999944,560836.7684585402,359.83525,0.2999999999983629,15261.0,28586.104,30000.0,15.52,15.0,4,6080300.0
drift,uniform,uniform,hybrid_piecewise8,,4000,0.954,0.0915,11200.0,11884.375,14604.999999999973,84144.09676571128,714.4295,58.099999999999454,27695.0,173.422,2049.0,8.57525,22.0,4,6080300.0
threshold_sweep,piecewise,,hybrid_linear,0,5000,1.0,0.9996,4300.0,4558.78,5500.0,219356.9332145881,1103.1328,2324.0,2422.0,2.9314,3.0,16.9254,17.0,1,
threshold_sweep,piecewise,,hybrid_linear,16,5000,1.0,0.9958,4400.0,4511.28,4800.0,221666.5780000355,1103.1328,2324.0,2422.0,31.9002,33.0,20.868,21.0,1,
threshold_sweep,piecewise,,hybrid_linear,64,5000,1.0,0.975,4500.0,4594.36,5000.0,217658.1721937332,1103.1328,2324.0,2422.0,124.5456,129.0,22.5542,23.0,1,
